Day,Date,Time,Court 1,,,,Court 2,,,
,,,#,Team 1,Team 2,#,#,Team 1,Team 2,#
,,9:00 PM,2,Chafing The Dream,Croc O Shit,19,8,La Cabana Fiesta,Vollyagra,13
Thursday,7/18/2019,6:30 PM,4,Phillippas,Plan B,5,1,Ball Smashers 2,La Cabana Fiesta,8
,,7:45 PM,6,Shamwow,Smack,7,5,Disqualified,Questionably Athletic,12
,,9:00 PM,1,Aces High,What’s The Score,20,4,Blockbusters,Stars & Spikes,11
Friday,7/19/2019,6:30 PM,8,Monkey,Natty’s Daddy,9,5,Bumpin Uglies,Stars & Spikes,11
,,7:45 PM,7,Just The Tip,One Hit Wonders,10,3,Block Party,Ron’s Rockin Dinosaurs,10
,,9:00 PM,6,Here For Beer,Power Blackout,11,2,Beer Pressure,Old Diggers,9
Monday,7/22/2019,6:30 PM,13,Sand Sweat & Beers,What’s The Score,20,6,Half Spiked,Volleylama,12
,,7:45 PM,14,Scared Hitless,Croc O Shit,19,7,It’s All Good,Vollyagra,13
,,9:00 PM,15,Soldner,Rons Rockers,18,16,Spiked Punch,The Goodfellas,17
Tuesday,7/23/2019,6:30 PM,4,Deepak’s Virgins,Questionably Athletic,12,3,Block Party,Blockbusters,4
,,7:45 PM,3,Choke On That Block,Power Blackout,11,1,Ball Smashers 2,Beer Pressure,2
,,9:00 PM,2,Chafing The Dream,One Hit Wonders,10,1,Aces High,Natty’s Daddy,9
Wednesday,7/24/2019,6:30 PM,5,Plan B,Smack,7,2,Legends,Phillippas,4
,,7:45 PM,1,Ginger Ninjas,Little Rascals,3,8,The Goonies,ZeePellz,9
,,9:00 PM,5,Disqualified,Sand Sweat & Beers,13,5,Bumpin Uglies,Half Spiked,6
Thursday,7/25/2019,6:30 PM,2,Legends,ZeePellz,9,9,Old Diggers,Ron’s Rockin Dinosaurs,10
,,7:45 PM,6,Shamwow,The Goonies,8,6,Here For Beer,Scared Hitless,14
,,9:00 PM,7,Just The Tip,Soldner,15,7,It’s All Good,La Cabana Fiesta,8
Friday,7/26/2019,6:30 PM,8,Monkey,Spiked Punch,16,11,Stars & Spikes,Volleylama,12
,,7:45 PM,5,Disqualified,The Goodfellas,17,1,Ball Smashers 2,Vollyagra,13
,,9:00 PM,6,Here For Beer,Rons Rockers,18,2,Beer Pressure,Block Party,3
Monday,7/29/2019,6:30 PM,2,Chafing The Dream,Natty’s Daddy,9,4,Blockbusters,Bumpin Uglies,5
,,7:45 PM,1,Aces High,One Hit Wonders,10,6,Half Spiked,It’s All Good,7
,,9:00 PM,7,Just The Tip,Croc O Shit,19,8,Monkey,What’s The Score,20
Tuesday,7/30/2019,6:30 PM,2,Chafing The Dream,Scared Hitless,14,8,La Cabana Fiesta,Old Diggers,9
,,7:45 PM,1,Aces High,Sand Sweat & Beers,13,10,Ron’s Rockin Dinosaurs,Stars & Spikes,11
,,9:00 PM,3,Choke On That Block,Questionably Athletic,12,4,Deepak’s Virgins,Power Blackout,11
Wednesday,7/31/2019,6:30 PM,2,Legends,Smack,7,6,Shamwow,ZeePellz,9
,,7:45 PM,3,Little Rascals,Plan B,5,1,Ginger Ninjas,Phillippas,4
,,9:00 PM,3,Choke On That Block,Soldner,15,12,Volleylama,Vollyagra,13
Friday,8/2/2019,6:30 PM,4,Deepak’s Virgins,Spiked Punch,16,5,Bumpin Uglies,It’s All Good,7
,,7:45 PM,6,Here For Beer,The Goodfellas,17,2,Beer Pressure,Blockbusters,4
